fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,log_residual_sugar,log_chlorides,log_total_sulfur_dioxide,log_sulphates
5.8,1.01,0.66,2.0,0.039,88.0,0.99357,3.66,0.6,11.5,6,1.0986122886681098,0.03825871211709034,4.48863636973214,0.4700036292457355
6.6,0.58,0.0,2.2,0.1,63.0,0.99544,3.59,0.68,11.4,6,1.1631508098056809,0.09531017980432487,4.1588830833596715,0.5187937934151676
11.6,0.58,0.66,2.2,0.074,47.0,1.0008,3.25,0.57,9.0,3,1.1631508098056809,0.07138999608667294,3.871201010907891,0.4510756193602167
10.7,0.46,0.39,2.0,0.061,15.0,0.9981,3.18,0.62,9.5,5,1.0986122886681098,0.05921185963184608,2.772588722239781,0.4824261492442927
6.0,0.54,0.06,1.8,0.05,89.0,0.99236,3.3,0.5,10.55,6,1.0296194171811583,0.04879016416943201,4.499809670330265,0.4054651081081644
5.3,0.715,0.19,1.5,0.161,62.0,0.99395,3.62,0.61,11.0,5,0.9162907318741551,0.14928170271575444,4.143134726391533,0.4762341789963716
8.1,0.87,0.0,3.3,0.096,61.0,1.00025,3.6,0.72,9.8,4,1.4586150226995167,0.0916671885258238,4.127134385045092,0.5423242908253617
6.8,0.64,0.03,2.3,0.075,31.0,0.99545,3.36,0.58,10.4,6,1.1939224684724346,0.07232066157962612,3.4657359027997265,0.4574248470388754
6.9,0.45,0.11,2.4,0.043,12.0,0.99354,3.3,0.65,11.4,6,1.2237754316221157,0.04210117601863539,2.5649493574615367,0.5007752879124893
9.3,0.41,0.39,2.2,0.064,31.0,0.9984,3.26,0.65,10.2,5,1.1631508098056809,0.06203539091945264,3.4657359027997265,0.5007752879124893
7.5,0.685,0.07,2.5,0.0579999999999999,9.0,0.99632,3.38,0.55,10.9,4,1.252762968495368,0.056380333436107544,2.302585092994046,0.4382549309311553
9.8,0.45,0.38,2.5,0.081,66.0,0.99726,3.15,0.58,9.8,5,1.252762968495368,0.07788653865707122,4.204692619390966,0.4574248470388754
6.9,0.605,0.12,10.7,0.073,83.0,0.9993,3.45,0.52,9.4,6,2.4595888418037104,0.07045846364856141,4.430816798843313,0.41871033485818504
13.2,0.46,0.52,2.2,0.071,35.0,1.0006,3.1,0.56,9.0,6,1.1631508098056809,0.06859279146561172,3.58351893845611,0.44468582126144574
8.6,0.37,0.65,6.4,0.08,8.0,0.99817,3.27,0.58,11.0,5,2.0014800002101243,0.07696104113612832,2.1972245773362196,0.4574248470388754
7.2,0.38,0.3,1.8,0.073,70.0,0.99685,3.42,0.59,9.5,6,1.0296194171811583,0.07045846364856141,4.2626798770413155,0.4637340162321401
5.6,0.31,0.78,13.9,0.074,92.0,0.99677,3.39,0.48,10.5,6,2.7013612129514133,0.07138999608667294,4.532599493153256,0.3920420877760237
6.1,0.56,0.0,2.2,0.079,9.0,0.9948,3.59,0.54,11.5,6,1.1631508098056809,0.0760346862759976,2.302585092994046,0.43178241642553783
6.9,0.44,0.0,1.4,0.07,38.0,0.99438,3.32,0.58,11.4,6,0.8754687373538999,0.06765864847381481,3.6635616461296463,0.4574248470388754
7.7,0.41,0.76,1.8,0.611,45.0,0.9968,3.06,1.26,9.4,5,1.0296194171811583,0.47685510419483734,3.828641396489095,0.8153648132841945
6.3,0.68,0.01,3.7,0.103,54.0,0.99586,3.51,0.66,11.3,6,1.547562508716013,0.09803374027136541,4.007333185232471,0.5068176023684519
6.8,0.56,0.22,1.8,0.074,24.0,0.99438,3.4,0.82,11.2,6,1.0296194171811583,0.07138999608667294,3.2188758248682006,0.598836501088704
9.8,0.51,0.19,3.2,0.081,30.0,0.9984,3.23,0.58,10.5,6,1.4350845252893227,0.07788653865707122,3.4339872044851463,0.4574248470388754
5.2,0.34,0.0,1.8,0.05,63.0,0.9916,3.68,0.79,14.0,6,1.0296194171811583,0.04879016416943201,4.1588830833596715,0.5822156198526637
11.1,0.39,0.54,2.7,0.095,101.0,1.0001,3.13,0.51,9.5,5,1.308332819650179,0.09075436326846414,4.624972813284271,0.412109650826833
9.3,0.33,0.45,1.5,0.057,37.0,0.99498,3.18,0.89,11.1,7,0.9162907318741551,0.055434706888100586,3.6375861597263857,0.636576829071551
7.5,0.52,0.42,2.3,0.087,38.0,0.9972,3.58,0.61,10.5,6,1.1939224684724346,0.08342160813907239,3.6635616461296463,0.4762341789963716
11.6,0.42,0.53,3.3,0.105,98.0,1.001,3.2,0.95,9.2,5,1.4586150226995167,0.09984533496971613,4.59511985013459,0.6678293725756554
6.9,0.685,0.0,2.5,0.105,37.0,0.9966,3.46,0.57,10.6,6,1.252762968495368,0.09984533496971613,3.6375861597263857,0.4510756193602167
7.2,0.56,0.26,2.0,0.083,100.0,0.99586,3.26,0.52,9.9,5,1.0986122886681098,0.07973496801885356,4.61512051684126,0.41871033485818504
10.6,0.48,0.64,2.2,0.111,20.0,0.997,3.26,0.66,11.7,6,1.1631508098056809,0.10526051065749295,3.044522437723423,0.5068176023684519
9.1,0.25,0.34,2.0,0.071,67.0,0.99769,3.44,0.86,10.2,7,1.0986122886681098,0.06859279146561172,4.219507705176107,0.6205764877251099
7.6,0.51,0.24,2.4,0.091,38.0,0.998,3.47,0.66,9.6,6,1.2237754316221157,0.08709470685093376,3.6635616461296463,0.5068176023684519
7.1,0.46,0.2,1.9,0.077,54.0,0.9956,3.37,0.64,10.4,6,1.0647107369924282,0.07417939817425151,4.007333185232471,0.49469624183610705
9.2,0.54,0.31,2.3,0.1119999999999999,38.0,0.99699,3.24,0.56,10.9,5,1.1939224684724346,0.10616019582839055,3.6635616461296463,0.44468582126144574
7.9,0.19,0.42,1.6,0.057,30.0,0.994,3.29,0.69,11.2,6,0.9555114450274363,0.055434706888100586,3.4339872044851463,0.5247285289349821
7.5,0.42,0.32,2.7,0.067,25.0,0.99628,3.24,0.44,10.4,5,1.308332819650179,0.06485097231961631,3.258096538021482,0.36464311358790924
13.3,0.34,0.52,3.2,0.094,53.0,1.0014,3.05,0.81,9.5,6,1.4350845252893227,0.08984070399978947,3.9889840465642745,0.5933268452777344
10.6,0.36,0.59,2.2,0.152,18.0,0.9986,3.04,1.05,9.4,5,1.1631508098056809,0.1414995622736995,2.9444389791664403,0.7178397931503169
7.3,0.39,0.31,2.4,0.074,46.0,0.9962,3.41,0.54,9.4,6,1.2237754316221157,0.07138999608667294,3.8501476017100584,0.43178241642553783
7.4,0.74,0.07,1.7,0.086,48.0,0.99502,3.12,0.48,10.0,5,0.9932517730102833,0.08250122151174369,3.8918202981106265,0.3920420877760237
11.9,0.4,0.65,2.15,0.068,27.0,0.9988,3.06,0.68,11.3,6,1.1474024528375417,0.0657877405380031,3.332204510175204,0.5187937934151676
6.5,0.58,0.0,2.2,0.096,13.0,0.99557,3.62,0.62,11.5,4,1.1631508098056809,0.0916671885258238,2.6390573296152584,0.4824261492442927
7.2,0.52,0.07,1.4,0.074,20.0,0.9973,3.32,0.81,9.6,6,0.8754687373538999,0.07138999608667294,3.044522437723423,0.5933268452777344
9.9,0.35,0.41,2.3,0.083,61.0,0.9982,3.21,0.5,9.5,5,1.1939224684724346,0.07973496801885356,4.127134385045092,0.4054651081081644
7.7,0.63,0.08,1.9,0.076,27.0,0.9967,3.32,0.54,9.5,6,1.0647107369924282,0.07325046173959267,3.332204510175204,0.43178241642553783
8.7,0.78,0.51,1.7,0.415,66.0,0.99623,3.0,1.17,9.2,5,0.9932517730102833,0.34712953109520095,4.204692619390966,0.7747271675523681
8.2,0.39,0.49,2.3,0.099,133.0,0.9979,3.38,0.99,9.8,5,1.1939224684724346,0.09440067542148431,4.897839799950911,0.688134638736401
7.5,0.59,0.22,1.8,0.0819999999999999,60.0,0.99499,3.1,0.42,9.2,5,1.0296194171811583,0.0788111804242897,4.110873864173311,0.35065687161316933
8.8,0.955,0.05,1.8,0.075,19.0,0.99616,3.3,0.44,9.6,4,1.0296194171811583,0.07232066157962612,2.995732273553991,0.36464311358790924
8.4,0.56,0.04,2.0,0.0819999999999999,22.0,0.9976,3.22,0.44,9.6,5,1.0986122886681098,0.0788111804242897,3.1354942159291497,0.36464311358790924
10.7,0.4,0.37,1.9,0.081,29.0,0.99674,3.12,0.65,11.2,6,1.0647107369924282,0.07788653865707122,3.4011973816621555,0.5007752879124893
11.2,0.28,0.56,1.9,0.075,60.0,0.998,3.16,0.58,9.8,6,1.0647107369924282,0.07232066157962612,4.110873864173311,0.4574248470388754
7.4,1.185,0.0,4.25,0.0969999999999999,14.0,0.9966,3.63,0.54,10.7,3,1.6582280766035324,0.0925791812930931,2.70805020110221,0.43178241642553783
7.6,0.79,0.21,2.3,0.087,68.0,0.9955,3.12,0.44,9.2,5,1.1939224684724346,0.08342160813907239,4.23410650459726,0.36464311358790924
7.5,0.4,0.12,3.0,0.092,53.0,0.9967,3.37,0.7,10.3,6,1.3862943611198906,0.0880108773227133,3.9889840465642745,0.5306282510621704
6.0,0.42,0.19,2.0,0.075,47.0,0.99522,3.39,0.78,10.0,6,1.0986122886681098,0.07232066157962612,3.871201010907891,0.5766133643039938
9.6,0.88,0.28,2.4,0.086,147.0,0.9979,3.24,0.53,9.4,5,1.2237754316221157,0.08250122151174369,4.997212273764115,0.4252677354043441
7.9,0.31,0.32,1.9,0.066,36.0,0.99364,3.41,0.56,12.6,6,1.0647107369924282,0.0639133257436528,3.6109179126442243,0.44468582126144574
7.7,0.18,0.34,2.7,0.066,58.0,0.9947,3.37,0.78,11.8,6,1.308332819650179,0.0639133257436528,4.07753744390572,0.5766133643039938
6.7,0.16,0.64,2.1,0.059,52.0,0.99494,3.34,0.71,11.2,6,1.1314021114911006,0.0573250666192694,3.970291913552122,0.5364933705145685
12.4,0.49,0.58,3.0,0.103,99.0,1.0008,3.16,1.0,11.5,6,1.3862943611198906,0.09803374027136541,4.605170185988092,0.6931471805599453
6.8,0.6,0.18,1.9,0.079,86.0,0.9968,3.59,0.57,9.3,6,1.0647107369924282,0.0760346862759976,4.465908118654584,0.4510756193602167
7.8,0.5,0.17,1.6,0.0819999999999999,102.0,0.996,3.39,0.48,9.5,5,0.9555114450274363,0.0788111804242897,4.634728988229636,0.3920420877760237
9.1,0.45,0.35,2.4,0.08,78.0,0.9987,3.38,0.62,9.5,5,1.2237754316221157,0.07696104113612832,4.3694478524670215,0.4824261492442927
9.3,0.27,0.41,2.0,0.091,16.0,0.998,3.28,0.7,9.7,5,1.0986122886681098,0.08709470685093376,2.833213344056216,0.5306282510621704
6.8,0.61,0.2,1.8,0.077,65.0,0.9971,3.54,0.58,9.3,5,1.0296194171811583,0.07417939817425151,4.189654742026425,0.4574248470388754
7.6,0.54,0.13,2.5,0.0969999999999999,66.0,0.99785,3.39,0.61,9.4,5,1.252762968495368,0.0925791812930931,4.204692619390966,0.4762341789963716
6.6,0.63,0.0,4.3,0.093,77.5,0.99558,3.2,0.45,9.5,5,1.667706820558076,0.08892620919440151,4.363098624788363,0.37156355643248307
8.4,0.665,0.61,2.0,0.1119999999999999,95.0,0.997,3.16,0.54,9.1,5,1.0986122886681098,0.10616019582839055,4.564348191467836,0.43178241642553783
12.1,0.4,0.52,2.0,0.092,54.0,1.0,3.03,0.66,10.2,5,1.0986122886681098,0.0880108773227133,4.007333185232471,0.5068176023684519
6.8,0.5,0.11,1.5,0.075,49.0,0.99545,3.36,0.79,9.5,5,0.9162907318741551,0.07232066157962612,3.912023005428146,0.5822156198526637
9.5,0.57,0.27,2.3,0.0819999999999999,144.0,0.99782,3.27,0.55,9.4,5,1.1939224684724346,0.0788111804242897,4.976733742420574,0.4382549309311553
9.0,0.69,0.0,2.4,0.088,38.0,0.999,3.35,0.6,9.3,5,1.2237754316221157,0.08434114843375087,3.6635616461296463,0.4700036292457355
7.5,0.61,0.26,1.9,0.073,88.0,0.99612,3.3,0.53,9.8,5,1.0647107369924282,0.07045846364856141,4.48863636973214,0.4252677354043441
8.8,0.7,0.0,1.7,0.069,19.0,0.99701,3.31,0.53,10.0,6,0.9932517730102833,0.06672363204290818,2.995732273553991,0.4252677354043441
9.9,0.63,0.24,2.4,0.077,33.0,0.9974,3.09,0.57,9.4,5,1.2237754316221157,0.07417939817425151,3.5263605246161616,0.4510756193602167
7.7,0.58,0.01,1.8,0.088,18.0,0.99568,3.32,0.56,10.5,7,1.0296194171811583,0.08434114843375087,2.9444389791664403,0.44468582126144574
6.9,0.84,0.21,4.1,0.074,65.0,0.99842,3.53,0.72,9.25,6,1.62924053973028,0.07138999608667294,4.189654742026425,0.5423242908253617
8.1,0.82,0.0,4.1,0.095,14.0,0.99854,3.36,0.53,9.6,5,1.62924053973028,0.09075436326846414,2.70805020110221,0.4252677354043441
8.2,0.34,0.37,1.9,0.057,74.0,0.99408,3.23,0.81,12.0,6,1.0647107369924282,0.055434706888100586,4.31748811353631,0.5933268452777344
8.1,0.66,0.22,2.2,0.069,23.0,0.9968,3.3,1.2,10.3,5,1.1631508098056809,0.06672363204290818,3.1780538303479458,0.7884573603642702
8.9,0.565,0.34,3.0,0.093,112.0,0.9998,3.38,0.61,9.5,5,1.3862943611198906,0.08892620919440151,4.727387818712341,0.4762341789963716
6.4,0.47,0.4,2.4,0.071,19.0,0.9963,3.56,0.73,10.6,6,1.2237754316221157,0.06859279146561172,2.995732273553991,0.5481214085096876
6.1,0.32,0.25,1.8,0.086,32.0,0.99464,3.36,0.44,10.1,5,1.0296194171811583,0.08250122151174369,3.4965075614664802,0.36464311358790924
6.1,0.6,0.08,1.8,0.071,45.0,0.99336,3.38,0.54,11.0,5,1.0296194171811583,0.06859279146561172,3.828641396489095,0.43178241642553783
8.7,0.41,0.41,6.2,0.078,42.0,0.9953,3.24,0.77,12.6,7,1.9740810260220096,0.07510747248680541,3.7612001156935624,0.5709795465857378
11.9,0.695,0.53,3.4,0.128,21.0,0.9992,3.17,0.84,12.2,7,1.4816045409242156,0.12044615307586716,3.091042453358316,0.6097655716208943
10.0,0.29,0.4,2.9,0.098,26.0,1.0006,3.48,0.91,9.7,5,1.3609765531356006,0.09349034308733889,3.295836866004329,0.6471032420585385
11.0,0.2,0.48,2.0,0.3429999999999999,18.0,0.9979,3.3,0.71,10.5,5,1.0986122886681098,0.29490591754110046,2.9444389791664403,0.5364933705145685
7.0,0.49,0.49,5.6,0.06,121.0,0.9974,3.34,0.76,10.5,5,1.8870696490323797,0.058268908123975775,4.804021044733257,0.5653138090500605
7.3,0.73,0.24,1.9,0.108,102.0,0.9967,3.26,0.59,9.3,5,1.0647107369924282,0.10255658832509207,4.634728988229636,0.4637340162321401
12.4,0.35,0.49,2.6,0.079,69.0,0.9994,3.12,0.75,10.4,6,1.2809338454620642,0.0760346862759976,4.248495242049359,0.5596157879354227
8.5,0.28,0.35,1.7,0.061,15.0,0.99524,3.3,0.74,11.8,7,0.9932517730102833,0.05921185963184608,2.772588722239781,0.5538851132264376
9.5,0.885,0.27,2.3,0.084,145.0,0.9978,3.24,0.53,9.4,5,1.1939224684724346,0.08065790301745447,4.983606621708336,0.4252677354043441
6.4,0.36,0.53,2.2,0.23,35.0,0.9934,3.37,0.93,12.4,6,1.1631508098056809,0.20701416938432612,3.58351893845611,0.6575200029167942
5.4,0.835,0.08,1.2,0.046,93.0,0.9924,3.57,0.85,13.0,7,0.7884573603642702,0.044973365642731154,4.543294782270004,0.6151856390902335
6.5,0.67,0.0,4.3,0.057,20.0,0.99488,3.45,0.56,11.8,4,1.667706820558076,0.055434706888100586,3.044522437723423,0.44468582126144574
14.3,0.31,0.74,1.8,0.075,15.0,1.0008,2.86,0.79,8.4,6,1.0296194171811583,0.07232066157962612,2.772588722239781,0.5822156198526637
7.9,0.765,0.0,2.0,0.084,22.0,0.99619,3.33,0.68,10.9,6,1.0986122886681098,0.08065790301745447,3.1354942159291497,0.5187937934151676
15.9,0.36,0.65,7.5,0.096,71.0,0.9976,2.98,0.84,14.9,5,2.1400661634962708,0.0916671885258238,4.276666119016055,0.6097655716208943
5.2,0.49,0.26,2.3,0.09,74.0,0.9953,3.71,0.62,12.2,6,1.1939224684724346,0.08617769624105233,4.31748811353631,0.4824261492442927
8.3,0.65,0.1,2.9,0.089,40.0,0.99803,3.29,0.55,9.5,5,1.3609765531356006,0.08525984395082342,3.713572066704308,0.4382549309311553
7.1,0.69,0.08,2.1,0.063,52.0,0.99608,3.42,0.6,10.2,6,1.1314021114911006,0.061095099359810875,3.970291913552122,0.4700036292457355
9.0,0.785,0.24,1.7,0.078,21.0,0.99692,3.29,0.67,10.0,5,0.9932517730102833,0.07510747248680541,3.091042453358316,0.5128236264286637
7.5,0.49,0.19,1.9,0.076,44.0,0.9957,3.39,0.54,9.7,5,1.0647107369924282,0.07325046173959267,3.8066624897703196,0.43178241642553783
10.1,0.38,0.5,2.4,0.104,13.0,0.99643,3.22,0.65,11.6,7,1.2237754316221157,0.09893994785490356,2.6390573296152584,0.5007752879124893
7.1,0.67,0.0,2.3,0.083,27.0,0.99768,3.44,0.54,9.4,5,1.1939224684724346,0.07973496801885356,3.332204510175204,0.43178241642553783
9.3,0.38,0.48,3.8,0.132,11.0,0.99577,3.23,0.57,13.2,6,1.5686159179138452,0.1239859797809912,2.4849066497880004,0.4510756193602167
9.3,0.48,0.29,2.1,0.127,16.0,0.9968,3.22,0.72,11.2,5,1.1314021114911006,0.11955923505763925,2.833213344056216,0.5423242908253617
7.1,0.66,0.0,2.4,0.052,11.0,0.99318,3.35,0.66,12.7,7,1.2237754316221157,0.050693114315518116,2.4849066497880004,0.5068176023684519
5.4,0.74,0.0,1.2,0.0409999999999999,46.0,0.99258,4.01,0.59,12.5,6,0.7884573603642702,0.040181789632831734,3.8501476017100584,0.4637340162321401
6.8,0.47,0.08,2.2,0.064,38.0,0.99553,3.3,0.65,9.6,6,1.1631508098056809,0.06203539091945264,3.6635616461296463,0.5007752879124893
6.4,0.69,0.0,1.65,0.055,12.0,0.99162,3.47,0.53,12.9,6,0.9745596399981308,0.053540766928029816,2.5649493574615367,0.4252677354043441
7.3,0.52,0.32,2.1,0.07,70.0,0.99418,3.34,0.82,12.9,6,1.1314021114911006,0.06765864847381481,4.2626798770413155,0.598836501088704
10.1,0.935,0.22,3.4,0.105,86.0,1.001,3.43,0.64,11.3,4,1.4816045409242156,0.09984533496971613,4.465908118654584,0.49469624183610705
6.6,0.66,0.0,3.0,0.115,31.0,0.99629,3.45,0.63,10.3,5,1.3862943611198906,0.10885440491208209,3.4657359027997265,0.48858001481867097
10.6,1.025,0.43,2.8,0.08,84.0,0.9985,3.06,0.57,10.1,5,1.33500106673234,0.07696104113612832,4.442651256490317,0.4510756193602167
5.0,0.38,0.01,1.6,0.048,60.0,0.99084,3.7,0.75,14.0,6,0.9555114450274363,0.04688358589885042,4.110873864173311,0.5596157879354227
8.6,0.635,0.68,1.8,0.4029999999999999,56.0,0.99632,3.02,1.15,9.3,5,1.0296194171811583,0.3386128011203238,4.04305126783455,0.7654678421395714
7.0,0.6,0.3,4.5,0.068,110.0,0.99914,3.3,1.17,10.2,5,1.7047480922384253,0.0657877405380031,4.709530201312334,0.7747271675523681
7.8,0.815,0.01,2.6,0.074,90.0,0.99621,3.38,0.62,10.8,5,1.2809338454620642,0.07138999608667294,4.51085950651685,0.4824261492442927
7.8,0.53,0.33,2.4,0.08,144.0,0.99655,3.3,0.6,9.5,5,1.2237754316221157,0.07696104113612832,4.976733742420574,0.4700036292457355
8.6,0.47,0.27,2.3,0.055,28.0,0.99516,3.18,0.8,11.2,5,1.1939224684724346,0.053540766928029816,3.367295829986474,0.5877866649021191
8.4,0.745,0.11,1.9,0.09,63.0,0.9965,3.19,0.82,9.6,5,1.0647107369924282,0.08617769624105233,4.1588830833596715,0.598836501088704
6.2,0.57,0.1,2.1,0.048,11.0,0.99448,3.44,0.76,10.8,6,1.1314021114911006,0.04688358589885042,2.4849066497880004,0.5653138090500605
8.4,0.59,0.29,2.6,0.109,119.0,0.99801,3.15,0.5,9.1,5,1.2809338454620642,0.10345870836822998,4.787491742782046,0.4054651081081644
7.3,0.59,0.26,7.2,0.07,121.0,0.9981,3.37,0.49,9.4,5,2.1041341542702074,0.06765864847381481,4.804021044733257,0.3987761199573678
8.6,0.22,0.36,1.9,0.064,77.0,0.99604,3.47,0.87,11.0,7,1.0647107369924282,0.06203539091945264,4.356708826689592,0.6259384308664953
8.9,0.31,0.57,2.0,0.111,85.0,0.9971,3.26,0.53,9.7,5,1.0986122886681098,0.10526051065749295,4.454347296253507,0.4252677354043441
9.0,0.82,0.14,2.6,0.089,23.0,0.9984,3.39,0.63,9.8,5,1.2809338454620642,0.08525984395082342,3.1780538303479458,0.48858001481867097
10.1,0.31,0.35,1.6,0.075,28.0,0.99672,3.24,0.83,11.2,7,0.9555114450274363,0.07232066157962612,3.367295829986474,0.6043159668533296
9.0,0.43,0.34,2.5,0.08,86.0,0.9987,3.38,0.62,9.5,6,1.252762968495368,0.07696104113612832,4.465908118654584,0.4824261492442927
7.9,0.34,0.36,1.9,0.065,10.0,0.99419,3.27,0.54,11.2,7,1.0647107369924282,0.06297479916138844,2.3978952727983707,0.43178241642553783
7.1,0.68,0.0,2.3,0.087,26.0,0.99783,3.45,0.53,9.5,5,1.1939224684724346,0.08342160813907239,3.295836866004329,0.4252677354043441
7.1,0.34,0.28,2.0,0.0819999999999999,68.0,0.99694,3.45,0.48,9.4,5,1.0986122886681098,0.0788111804242897,4.23410650459726,0.3920420877760237
11.4,0.46,0.5,2.7,0.122,17.0,1.0006,3.13,0.7,10.2,5,1.308332819650179,0.11511280710050457,2.8903717578961645,0.5306282510621704
